# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
5.07, 0, 0.0426917, -0.110014, -0.0095957, -3.38638, 4.71381, 1.60629
5.09, 0, 0.0439141, -0.108334, -0.0130489, -3.66906, 4.30508, 1.78964
5.11, 0, 0.0451364, -0.11414, -0.0143019, -3.96128, 3.8314, 2.12198
5.12, 0, 0.0454115, -0.112795, -0.0174801, -3.45323, 3.74736, 2.64722
5.15, 0, 0.0597439, -0.114109, -0.0198943, -3.92499, 3.72253, 2.9872
5.17, 0, 0.0678727, -0.126822, -0.0203527, -4.41776, 3.36919, 2.29961
5.19, 0, 0.0699202, -0.141093, -0.0243254, -3.81994, 3.36537, 1.07149
5.21, 0, 0.0291232, -0.144302, -0.0211778, -1.67696, 3.00248, 0.259756
5.23, 0, 0.00501177, -0.121352, -0.0246616, 1.16508, 3.12662, 1.53753
5.25, 0, -0.000733429, -0.105736, -0.0280842, 0.548162, 2.90125, 2.81148
5.27, 0, -0.0118571, -0.130184, -0.0262506, -1.86222, 0.551982, 2.11243
5.29, 0, 0.0126211, -0.156404, -0.0146075, -2.87069, -1.22047, -0.0114598
5.31, 0, 0.0283898, -0.146747, -0.011032, -0.317055, -2.18692, -1.68269
5.33, 0, 0.0213, -0.117776, -0.0065703, 1.47068, -2.60902, -1.47641
5.35, 0, 0.0206277, -0.114323, 0.00562296, 0.424014, -2.97383, -0.848027
5.37, 0, 0.0261284, -0.129542, 0.0179385, -0.458393, -3.28515, -0.763989
5.39, 0, 0.0311707, -0.137243, 0.021025, -0.609281, -2.76182, -0.408734
5.41, 0, 0.034135, -0.137549, 0.016166, 0.139428, -1.58146, 0.508052
5.43, 0, 0.0303456, -0.131345, 0.00880115, 0.926336, -0.565352, 1.35226
5.45, 0, 0.0278092, -0.129848, 0.00409498, 0.69714, 0.437384, 2.00165
5.47, 0, 0.0209944, -0.132445, 0.00351435, 0.254026, 0.947346, 2.37027
5.49, 0, 0.01311, -0.126119, 0.00244476, -0.0324695, 1.01992, 2.46577
5.51, 0, 0.0217278, -0.123247, 0.00259756, -0.613101, 1.00847, 2.37791
5.53, 0, 0.0331265, -0.119916, 6.11191e-05, -0.487043, 1.33698, 2.32635
5.55, 0, 0.0323014, -0.115729, 0.000488953, -0.582541, 1.67887, 2.10479
5.57, 0, 0.0284815, -0.112398, 0.00100846, -0.914876, 1.88323, 1.81447
5.59, 0, 0.0177857, -0.118602, -0.00458393, -0.744889, 2.18883, 1.79919
5.61, 0, 0.00904563, -0.117288, -0.0103291, -0.259756, 1.74953, 1.47832
5.636, 0, 0.00861779, -0.126761, -0.00904563, 0.397274, 0.391544, 0.891957
5.656, 0, 0.0121933, -0.122666, -0.00907618, 0.67613, -0.429744, 0.525242
5.676, 0, 0.0147297, -0.119518, -0.00849555, 0.223467, -1.07531, 0.162348
5.696, 0, 0.0193748, -0.119182, -0.00773156, -0.313235, -1.63303, -0.0401094
