# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
5.6893, 0, -0.0002135, -0.135542, 0.0058865, 0.966875, -1.02375, 0.07
5.72054, 0, -0.000732, -0.132645, 0.008174, 2.49375, -1.365, -0.111562
5.73923, 0, -0.002074, -0.122701, 0.0082655, 2.12844, -1.09156, -0.42875
5.75792, 0, -0.002623, -0.121024, 0.002745, 1.05219, -0.2975, -0.293125
5.77365, 0, -0.00488, -0.11648, -0.0028975, 0.179375, 0.220938, 0.0240625
5.79449, 0, -0.008479, -0.124074, 0.005612, -0.142188, 0.465937, 0.124688
5.81534, 0, -0.0082045, -0.124959, 0.0072285, -0.483438, -0.0065625, 0.102812
5.83618, 0, -0.007625, -0.126209, 0.003294, -0.282187, -0.177188, 0.07875
5.85495, 0, -0.009638, -0.120963, -0.003477, -0.1225, 0.721875, 0.100625
5.87372, 0, -0.0071065, -0.116266, -0.00549, -0.88375, 1.9075, 0.150937
5.8892, 0, -0.006832, -0.122488, 0.011529, -1.09156, 2.70156, 0.0525
5.90497, 0, -0.0075335, -0.136183, 0.005368, -2.67313, 0.595, -0.137812
5.92054, 0, -0.008479, -0.127398, 0.0032635, -1.77625, -0.133437, -0.273438
5.95799, 0, -0.0075945, -0.126575, 0.0022265, -3.6925, -2.01906, 1.17031
6.03161, 0, -0.0011895, -0.13664, 0.012017, -4.48438, -6.4575, 4.03375
6.10522, 0, 0.0229665, -0.158753, 0.0034465, -5.52781, -11.025, 8.51375
6.11569, 0, -0.0171715, -0.127734, -0.0152195, -4.56313, -7.84219, 0.0240625
6.12616, 0, -0.0096075, -0.103944, -0.007625, -1.12875, -6.41156, -3.71438
6.13662, 0, -0.02135, -0.103487, 0.00305, -4.17375, -7.09188, -4.12344
6.16316, 0, -0.021655, -0.12142, -0.00976, -5.75313, -7.82031, -1.26
6.18969, 0, -0.037332, -0.129655, -0.020313, 0.102812, -2.83281, 0.859688
6.20545, 0, -0.061793, -0.112576, -0.010858, 3.52625, 1.07844, -1.03031
6.22314, 0, -0.048312, -0.111599, -0.0041175, 2.54188, 3.44531, -2.51125
