Time (seconds),accel0,accel1,accel2,gyro0,gyro1,gyro2
2.556,0.0853222534,-0.8654463291,0.5679185986,3.3462703227,-2.5670018196,-0.6570302248
2.576,0.0973015949,-0.8566451668,0.5505607724,3.2087521553,-1.3140604496,0.5042325258
2.596,0.1009687408,-0.8505332469,0.5505607724,2.5211625099,-0.6417504549,0.7181493043
2.616,0.0931454971,-0.8417321443,0.5522720813,1.8182929754,-1.0543043613,0.5195122957
2.636,0.0880114883,-0.8387984037,0.5498273372,1.3751795291,-1.726614356,0.3514347672
2.656,0.0875225365,-0.8383094668,0.54787153,1.100143671,-2.0016503334,0.5195122957
2.676,0.0889893993,-0.8363536596,0.5517831444,0.7181493043,-2.0933289527,1.0237448215
2.696,0.0885004401,-0.8361091613,0.5556947588,0.6570302248,-2.0322098731,1.0237448215
2.716,0.0909452065,-0.8385539054,0.5600953698,1.25294137,-1.6196558475,1.0543043613
2.736,0.0916786342,-0.8380649685,0.5681630373,1.9099715948,-1.3293402194,0.7945481538
2.7559999999,0.0919231101,-0.8363536596,0.5701189041,2.1086087226,-0.9015066027,0.4125538468
2.7759999999,0.0882559642,-0.8380649685,0.571830213,2.6892399787,0.2597561478,0.3667145371
2.7959999999,0.0916786342,-0.8348867893,0.5732970833,3.4379489421,1.6043760776,0.6875897645
2.8159999999,0.0914341583,-0.8363536596,0.577453196,3.7435443401,2.5822815895,0.9473459124
2.8359999999,0.0899673029,-0.8385539054,0.5801423788,3.6977050304,3.3004307746,0.9015066027
2.8559999999,0.0941234007,-0.8451547622,0.5828316211,3.8657824993,3.6213061809,1.0695841312
2.8759999999,0.092167586,-0.8453992605,0.5833206176,4.0033006668,3.3309905529,1.0543043613
2.8959999999,0.0872780606,-0.8400207757,0.5772086977,3.8657824993,3.1476330757,0.6570302248
2.916,0.0907007306,-0.8383094668,0.580386877,3.0559544563,3.0253949165,0.244476363
2.9359999999,0.0914341583,-0.8383094668,0.5864987969,2.7350792884,3.101793766,0.2750359177
2.9559999999,0.0872780606,-0.8336644172,0.5847874879,2.9337162971,3.2851510047,1.0543043613
2.9759999999,0.0836109146,-0.827796936,0.5742749571,3.0559544563,2.9031567573,1.7724536657
2.996,0.0821440592,-0.8304861783,0.5769641995,1.9252513647,1.8030132055,1.8030132055
3.016,0.0853222534,-0.8336644172,0.5835650563,0.7487088441,0.9779054522,1.4974176883
3.036,0.0833664387,-0.834642291,0.5850319266,0.7334290742,1.1612627506,1.6196558475
3.056,0.082633011,-0.8368425965,0.5767197608,1.1765425205,1.6196558475,2.2614064216
3.076,0.0767655745,-0.8351312279,0.5762307643,1.4210188388,1.6960548162,2.8725972175
3.096,0.075543195,-0.8321975469,0.5828316211,1.1918222904,1.4057390689,3.0712342262
3.116,0.0748097673,-0.8348867893,0.5835650563,1.2223818302,1.5585367679,2.9795556068
3.136,0.0708981454,-0.8339088559,0.5786755681,1.6043760776,1.7418941259,3.453228712
3.1459999999,0.0740763396,-0.8356202244,0.5786755681,1.9252513647,2.0322098731,4.0185804367
3.173,0.0730984359,-0.8353757262,0.5816092491,1.4821379184,1.9863704442,4.1713781356
3.193,0.0730984359,-0.8321975469,0.587232232,1.0543043613,1.9099715948,4.2019376754
3.213,0.0733429118,-0.8314641118,0.5960333943,1.4362986087,1.7877334356,4.2783365249
3.233,0.0728539526,-0.8312196135,0.597500205,2.0933289527,1.1612627506,4.7367296218
3.253,0.0660086199,-0.8331754207,0.5904104113,2.6586804389,0.2750359177,5.0423250198
3.273,0.0579408966,-0.8331754207,0.5864987969,3.0253949165,-0.5347920656,4.7520093917
3.293,0.0515845119,-0.8331754207,0.5904104113,3.3157105445,-0.1527977287,4.263056755
3.313,0.0501176528,-0.8299972414,0.5923662185,3.1170735359,0.5347920656,3.5907466411
3.333,0.0537847988,-0.8251076936,0.5940775871,3.1323533058,0.8862268328,3.2851510047
3.353,0.053295847,-0.8268190622,0.5948109626,2.6739602088,0.5959111452,3.2087521553
3.373,0.0484063215,-0.8241298198,0.5960333943,1.8488525152,-0.0763988643,3.2698712348
3.3929999999,0.0510955601,-0.8258411288,0.5933441519,1.1459829807,-0.3208752274,3.4685084819
3.4129999999,0.0486507974,-0.83170861,0.5894325375,0.9626256823,0.2750359177,3.3462703227
3.4329999999,0.0381383113,-0.8292638063,0.5933441519,1.3293402194,0.381994307,3.3768298625
3.4529999999,0.0381383113,-0.8241298198,0.5960333943,1.4210188388,-0.5959111452,3.1476330757
3.4729999999,0.0425388887,-0.816306591,0.5955443978,1.7113345861,-1.2987806797,2.9948353767
3.4929999999,0.0435167923,-0.8150842189,0.5970112681,1.2071020603,-1.2835009098,2.8267579078
3.5129999999,0.0440057441,-0.8172844648,0.6038566231,0.3667145371,-0.9015066027,2.6892399787
3.5329999999,0.0430278405,-0.8202182054,0.6019008159,-0.244476363,-1.0695841312,2.4753232002
3.5529999999,0.0427833646,-0.8243743181,0.6019008159,-0.4736729562,-1.3751795291,2.3378052711
3.5729999999,0.0420499332,-0.8297528028,0.5994560122,-0.1222381815,-1.4974176883,2.0780491828
3.5929999999,0.0422944091,-0.8280414342,0.5938330888,0.5806313753,-1.2376616001,2.0322098731
3.6129999999,0.0378938354,-0.826085627,0.5918772816,0.9779054522,-0.8251076936,1.726614356
3.633,0.0378938354,-0.8233963847,0.5948109626,0.9779054522,-0.4278336465,1.1612627506
3.656,0.0430278405,-0.8226629495,0.6011673808,0.3514347672,-0.244476363,0.5959111452
3.676,0.0444946996,-0.8265745639,0.6028786897,0.1833572685,-0.244476363,0.4431134164
3.696,0.0476728901,-0.8226629495,0.6021452546,0.3667145371,-0.1833572685,0.1833572685
3.716,0.0488952733,-0.8211960792,0.5989670753,0.4125538468,-0.0458393171,-0.0763988643
3.736,0.0515845119,-0.8219295144,0.5965223312,0.381994307,0.2139168232,-0.3208752274
3.7559999999,0.0481618419,-0.8211960792,0.5965223312,0.3055954575,0.244476363,-0.4583931863
3.7759999999,0.0447391755,-0.817528963,0.6019008159,0.2597561478,0.2597561478,-0.5500718355
3.7959999999,0.0454726032,-0.8155731558,0.6023897528,-0.3208752274,-0.0611190907,-0.7945481538
3.8159999999,0.0503621287,-0.816306591,0.5994560122,-0.7028695344,-0.1222381815,-0.7181493043
3.8359999999,0.0491397492,-0.8202182054,0.5921217203,-0.6570302248,0.2750359177,-0.8251076936
3.8559999999,0.047917366,-0.8233963847,0.5940775871,-0.1527977287,0.4889527261,-0.626470685
3.8759999999,0.0457170791,-0.8226629495,0.6004339456,0.5653516054,0.5959111452,-0.1680774986
3.8959999999,0.049628701,-0.8285303711,0.5965223312,0.1375179588,0.7028695344,-0.0152797726
3.916,0.051340036,-0.8292638063,0.5955443978,0.1833572685,0.9015066027,0.1527977287
3.9359999999,0.045961555,-0.8265745639,0.5930996537,0.3972740769,0.626470685,0.1375179588
3.9559999999,0.0432723164,-0.8314641118,0.5948109626,-0.1375179588,0.3208752274,-0.1986370384
3.9759999999,0.0400941222,-0.8329309821,0.5979892015,-0.6417504549,0.4278336465,-0.4431134164
3.996,0.0408275537,-0.8351312279,0.5911438465,-0.1222381815,0.9473459124,-0.0305595453
4.016,0.0422944091,-0.841976583,0.5940775871,-0.3972740769,1.2987806797,0.7181493043
4.0359999999,0.0317819267,-0.8559117317,0.6131467223,-2.3225255012,0.9015066027,0.6723099946
4.056,0.0325153544,-0.8884270787,0.6375943422,-4.858967781,0.8098279237,0.8862268328
4.0759999999,0.0486507974,-0.9471014142,0.6525074243,-6.3869447708,2.3683648109,2.0016503334
4.096,0.051340036,-1.005531311,0.6471289396,-7.5329279899,4.0491399765,4.110259056
4.1159999999,0.0662530958,-1.0664058923,0.6661980748,-11.2764720916,3.8505027294,4.3394556045
4.126,0.0642972812,-1.1057665348,0.6869785785,-12.3766155242,4.4769735336,2.1544480323
4.1459999999,0.0569629929,-1.1326589584,0.6857562065,-10.6347217559,5.3784799575,-0.8862268328
4.166,0.0393606945,-1.1292363405,0.6830669641,-8.8011493682,4.6908903121,-3.8505027294
4.1859999999,0.0268923994,-1.1140787601,0.6793997883,-10.3138465881,2.353085041,-4.1713781356
4.206,0.0202915389,-1.0969654321,0.6613085865,-14.897778511,0.1375179588,-2.5364422798
4.2259999999,0.0210249666,-1.0690951347,0.6471289396,-18.717721939,-1.6196558475,-1.1154234409
4.246,0.0364269763,-1.0258227586,0.619747579,-23.04189682,-1.6807750463,-1.3140604496
4.266,0.0466949865,-0.9908626675,0.587232232,-28.6495742797,-0.0458393171,-1.6502153873
4.2859999999,0.0415609814,-0.9661706089,0.5610732436,-32.7292747497,0.3055954575,-0.7792683839
4.306,0.0413165055,-0.9554136395,0.5593619346,-36.5797767639,-0.6111909151,-0.4736729562
4.3259999999,0.0491397492,-0.9451456069,0.5600953698,-40.9192314147,0.5500718355,-1.4668581485
4.346,0.0562295615,-0.9336552023,0.54787153,-44.3266220092,2.5975613594,-3.8199431896
4.3659999999,0.0501176528,-0.9307215213,0.5314916372,-44.7697334289,4.5839319229,-5.3479204177
4.386,0.0493842251,-0.9478348493,0.5099776983,-42.4013671875,5.2715215682,-5.3173608779
4.4059999999,0.0608746148,-0.9615255594,0.4860190153,-39.9718856811,5.9132719039,-4.4616937637
4.426,0.0638083294,-0.9512575268,0.480884999,-37.4965629577,7.0898146629,-3.1323533058
4.4459999999,0.0528068952,-0.9228982925,0.4904195964,-33.3863029479,6.8758978843,-0.7334290742
4.466,0.0396051704,-0.9094520807,0.4715948998,-32.1333618164,5.4854383468,-0.1222381815
4.4859999999,0.0264034476,-0.9126302599,0.4535036385,-33.9669342041,2.1850075721,-0.0305595453
4.506,0.0469394624,-0.9368334412,0.4503254592,-36.1519432067,-0.3208752274,-1.1307032108
4.5259999999,0.0440057441,-0.9458790421,0.4461693465,-34.7309226989,-0.3208752274,-0.855667293
4.546,0.0630749017,-0.9612810611,0.4579042196,-35.464351654,-3.6365859508,0.1680774986
4.5659999999,0.053295847,-0.9783943891,0.449592024,-28.8482112884,-8.1899585723,2.3836445808
4.586,0.0337377376,-0.984506309,0.4459248781,-28.2523002624,-12.1932582855,3.2087521553
4.6059999999,0.0488952733,-1.0040644407,0.4471472799,-24.0503616333,-16.1048812866,4.0949792861
4.626,0.0430278405,-1.0023530721,0.4427466988,-19.5122699737,-18.5496444702,3.8657824993
4.6459999999,0.0432723164,-1.0148214101,0.4097423851,-14.3171472549,-17.7856559753,5.6535158157
4.666,0.0486507974,-1.0297344923,0.3774715065,-11.7348651885,-18.8552398681,6.1119089126
4.6859999999,0.0308040212,-1.0436695814,0.360602647,-3.0101151466,-21.1472053527,9.5040187835
4.706,0.0315374508,-1.0287564992,0.3562020659,1.0390245914,-23.0877361297,11.52094841
4.7259999999,0.007334291,-1.0167771577,0.3554686307,2.6739602088,-22.4918251037,14.5310640335
4.746,-0.0034226691,-1.004553318,0.3295541405,5.9591112136,-26.02145195,18.3204479217
4.766,-0.0200470611,-0.9937964081,0.2941050529,6.0660696029,-30.0553131103,21.4833602905
4.7859999999,-0.0251810643,-0.9735049009,0.2845704853,4.5533723831,-34.7614822387,22.6751823425
4.806,-0.0234697312,-0.9299880862,0.2684350311,0.6723099946,-40.735874176,23.8670043945
4.8259999999,-0.0261589698,-0.8762032985,0.2571891248,-3.0406746864,-48.773033142,25.9756126403
4.846,-0.0312929749,-0.8043272495,0.2466766536,-5.2868013381,-57.1005096435,30.1928310394
4.8659999999,-0.0508510842,-0.7138710021,0.2459432184,-5.0881643295,-61.8219604492,35.3726730346
4.886,-0.0572074688,-0.6143690943,0.2652568519,-1.8030132055,-62.7998657226,40.2621994018
4.9059999999,-0.1007242575,-0.506799519,0.1870244145,-3.4837882518,-71.1273422241,41.1484260559
4.926,-0.1459523886,-0.4613268971,0.1530421972,-22.9196586608,-81.9301376342,39.4065322875
4.9459999999,-0.1623323112,-0.4405463933,0.2178284376,-35.1434783935,-79.286743164,37.9243965148
4.966,-0.1249274238,-0.4784402549,0.2967942953,-34.3947677612,-70.7759094238,37.5271224975
4.9859999999,-0.0711426213,-0.5574061274,0.3161079287,-27.7939071655,-61.4399642944,36.6256141662
5.006,-0.0425388887,-0.66081959,0.2862818241,-16.0743217468,-53.6931228637,33.9058151245
5.0259999999,-0.0290926862,-0.7480976581,0.2625676095,-10.8639183044,-54.5182304382,24.9060287475
5.046,-0.0119793415,-0.8211960792,0.2581670284,-8.8775482177,-67.4296340942,16.196559906
5.0659999999,-0.0408275537,-0.8942945599,0.2914158105,-29.7802772521,-83.5039596557,6.5091829299
5.086,-0.058674328,-0.9957522153,0.2657458186,-22.6293430328,-87.7975769042,-3.75882411
5.096,-0.0625859498,-1.0148214101,0.2559667527,-15.3103322982,-82.8927688598,-7.0286955833
5.1159999999,-0.058674328,-1.0087094306,0.2202731966,-10.925037384,-79.5464935302,-11.3528709411
5.136,-0.0664975717,-1.0277786254,0.2019374817,-4.858967781,-77.743484497,-11.4292697906
5.1559999999,-0.0188246797,-0.9742382764,0.1848241239,-5.1034440994,-78.6449890136,-12.1626987457
5.176,-0.0540292747,-0.9783943891,0.1603764891,-11.5515079498,-76.5211029052,-12.6974906921
5.1959999999,-0.0767655745,-1.0326681137,0.1080585494,-20.4596157073,-76.7502975463,-10.925037384
5.216,-0.144974485,-1.0954985618,0.0638083294,-17.831495285,-79.7756958007,-6.1577482223
5.2359999999,-0.116370745,-1.1507502794,0.0845888182,-10.4972038269,-82.4954910278,-1.100143671
